id,countryCode,name,city,address,postalCode,latitude,longitude,updated,comment
8898,LV,Top (Latvijas Pasts),Vaiņode,Brīvības iela 13,LV-3435,56.416671187,21.854174659,2026-02-07 09:31:04.896,
8895,LV,Grīziņdārzs (Latvijas Pasts),Rīga,Zemitāna iela 9,LV-1012,56.965507678,24.154315412,2026-02-07 09:30:26.712,
8890,LV,Lats (Latvijas Pasts),Augšlīgatne,Nītaures iela 8,LV-4108,57.183116511,25.034114645,2026-02-07 09:29:08.403,
8886,LV,Mego (Latvijas Pasts),Jelgava,Dobeles šoseja 7,LV-3007,56.651238384,23.706498722,2026-02-07 09:28:31.23,
8885,LV,Top (Latvijas Pasts),Auce,Baznīcas iela 1,LV-3708,56.464784827,22.892101613,2026-02-07 09:27:55.39,
8884,LV,Bice (Latvijas Pasts),Jaunmārupe,Mazcenu aleja 33/1,LV-2166,56.882095795,23.941959164,2026-02-07 09:27:18.651,
8878,LV,Vesko (Latvijas Pasts),Vecumnieki,Rīgas iela 26,LV-3933,56.606202110,24.521048711,2026-02-07 09:25:05.433,
8872,LV,Citro (Latvijas Pasts),Kārsava,Sporta iela 6,LV-5717,56.786289338,27.675294797,2026-02-07 09:21:29.958,
8870,LV,Lats (Latvijas Pasts),Roja,Selgas iela 2,LV-3264,57.505651914,22.801079661,2026-02-07 09:12:44.013,
8868,LV,Top (Latvijas Pasts),Lubāna,Ozolu iela 11,LV-4830,56.903423598,26.713266717,2026-02-07 09:10:31.614,
8864,LV,Mego (Latvijas Pasts),Rīga,Mīlgrāvja iela 2,LV-1034,57.021406633,24.135737060,2026-02-07 09:09:30.133,
8863,LV,Citro (Latvijas Pasts),Engure,Jūras iela 81,LV-3113,57.161147927,23.229023205,2026-02-07 09:09:14.922,
8859,LV,Citro (Latvijas Pasts),Sabile,Ventspils iela 9,LV-3294,57.046264764,22.571153293,2026-02-07 09:07:34.738,
8854,LV,Lats (Latvijas Pasts),Aloja,Jūras iela 12,LV-4064,57.766932575,24.884374580,2026-02-07 09:05:22.042,
8853,LV,Top (Latvijas Pasts),Nereta,Raiņa iela 6,LV-5118,56.204234301,25.307618058,2026-02-06 14:55:12.067,
8852,LV,Citro (Latvijas Pasts),Alsunga,Skolas iela 5,LV-3306,56.979233876,21.569450059,2026-02-06 14:54:58.112,
8851,LV,Lats (Latvijas Pasts),Ugāle,Skolas iela 7,LV-3615,57.277297017,22.018057365,2026-02-06 14:54:46.242,
8850,LV,Maks (Latvijas Pasts),Viļaka,Balvu iela 2,LV-4583,57.184466075,27.671922832,2026-02-06 14:54:27.551,
